,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
37,0.03093862533569336,2.9956229483561578e-05,0.0015892982482910156,0.0004822655913507605,0.1,0.0001,3,100,"{'colsample_bytree': 0.1, 'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 100}",0.752,0.728,0.712,0.717741935483871,0.75,0.7319483870967742,0.016390723500121655,177
35,0.1918783664703369,0.004426729343043914,0.002999544143676758,1.4566575229738258e-05,0.1,0.0001,1,1000,"{'colsample_bytree': 0.1, 'learning_rate': 0.0001, 'max_depth': 1, 'n_estimators': 1000}",0.744,0.76,0.72,0.6935483870967742,0.7338709677419355,0.7302838709677419,0.022535756303590466,178
34,0.09833650588989258,0.005717207025708904,0.0019946575164794924,7.136645101116068e-07,0.1,0.0001,1,500,"{'colsample_bytree': 0.1, 'learning_rate': 0.0001, 'max_depth': 1, 'n_estimators': 500}",0.736,0.736,0.72,0.7016129032258065,0.7338709677419355,0.7254967741935484,0.013352276519059016,179
33,0.0223388671875,0.0013578324107308387,0.0014049530029296875,0.0004975702273921625,0.1,0.0001,1,100,"{'colsample_bytree': 0.1, 'learning_rate': 0.0001, 'max_depth': 1, 'n_estimators': 100}",0.736,0.744,0.72,0.7016129032258065,0.7258064516129032,0.725483870967742,0.014515068061585718,180
40,0.0065883159637451175,0.0004953985734073381,0.0011968612670898438,0.00039899381623883243,0.1,0.0001,5,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 10}",0.704,0.744,0.688,0.7016129032258065,0.6854838709677419,0.7046193548387097,0.0209886982124544,181
20,0.0059830665588378905,0.0008919499943335177,0.0015953540802001952,0.00048801553190477685,0.1,0.005,3,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.005, 'max_depth': 3, 'n_estimators': 10}",0.688,0.76,0.68,0.7016129032258065,0.6854838709677419,0.7030193548387097,0.029365751959337893,182
12,0.007380199432373047,0.0004880742522776714,0.001595783233642578,0.0004889496311652027,0.1,0.1,10,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 10}",0.696,0.736,0.696,0.7096774193548387,0.6774193548387096,0.7030193548387097,0.019421408100646652,182
44,0.006974124908447265,1.564185785632398e-05,0.0020016193389892577,1.5174064260254845e-05,0.1,0.0001,10,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 10}",0.696,0.736,0.68,0.7016129032258065,0.6935483870967742,0.7014322580645163,0.01868672229178796,184
36,0.005975675582885742,0.0006302995170314046,0.0015962600708007812,0.0004882663346411603,0.1,0.0001,3,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 10}",0.688,0.752,0.68,0.7016129032258065,0.6854838709677419,0.7014193548387098,0.026272596438517988,185
24,0.006581258773803711,0.0004909132775453227,0.0017954349517822266,0.00039942277009354424,0.1,0.005,5,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 10}",0.704,0.736,0.688,0.6935483870967742,0.6854838709677419,0.7014064516129033,0.018430685176829678,186
8,0.006977081298828125,0.0010947035624058086,0.0015947818756103516,0.0004874520413485467,0.1,0.1,5,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10}",0.696,0.72,0.68,0.7016129032258065,0.6935483870967742,0.6982322580645162,0.012996924313979386,187
4,0.006581783294677734,0.0007974517769543448,0.0013966083526611329,0.0004881690453340046,0.1,0.1,3,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10}",0.688,0.736,0.688,0.7016129032258065,0.6693548387096774,0.6965935483870969,0.02221579530140864,188
0,0.006593465805053711,0.0017354761508794722,0.00225977897644043,0.0007303599954858396,0.1,0.1,1,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 10}",0.696,0.744,0.672,0.6774193548387096,0.6854838709677419,0.6949806451612903,0.025809432085952138,189
28,0.007380437850952148,0.00048698530383043716,0.0017871856689453125,0.00039477157972448004,0.1,0.005,10,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 10}",0.696,0.728,0.672,0.6935483870967742,0.6774193548387096,0.6933935483870968,0.019582047034899155,190
32,0.004985713958740234,1.4588411846903185e-06,0.001588726043701172,0.00048231583798747084,0.1,0.0001,1,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.0001, 'max_depth': 1, 'n_estimators': 10}",0.696,0.648,0.672,0.6774193548387096,0.6854838709677419,0.6757806451612903,0.016073069364403402,191
16,0.004786539077758789,0.0007472583614524847,0.0017955780029296875,0.0003991377502474655,0.1,0.005,1,10,"{'colsample_bytree': 0.1, 'learning_rate': 0.005, 'max_depth': 1, 'n_estimators': 10}",0.696,0.648,0.672,0.6774193548387096,0.6854838709677419,0.6757806451612903,0.016073069364403402,191
