,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
465,0.2633186340332031,0.010334710272766083,0.02591552734375,0.0016446568683798914,entropy,4,7,250,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 7, 'n_estimators': 250}",0.848,0.792,0.832,0.7903225806451613,0.8467741935483871,0.8218193548387097,0.0256634229968793,163
138,0.7619682788848877,0.016154749966929224,0.07140145301818848,0.0035513511336369764,gini,3,11,750,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'n_estimators': 750}",0.84,0.8,0.84,0.782258064516129,0.8467741935483871,0.8218064516129033,0.025787573740413686,167
142,0.11307277679443359,0.0030105080528630406,0.011185169219970703,0.0007631760468799306,gini,3,,100,"{'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'n_estimators': 100}",0.872,0.784,0.84,0.7983870967741935,0.8145161290322581,0.8217806451612903,0.03124527785341901,168
271,0.9245181083679199,0.01768258094103776,0.08000121116638184,0.0004098422059901956,gini,,7,750,"{'criterion': 'gini', 'max_depth': None, 'max_features': 7, 'n_estimators': 750}",0.824,0.792,0.816,0.8709677419354839,0.7983870967741935,0.8202709677419355,0.027858432067380635,169
493,0.2401815414428711,0.015383748105234473,0.02671222686767578,0.0011407224099396853,entropy,5,1,250,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 1, 'n_estimators': 250}",0.824,0.792,0.824,0.7983870967741935,0.8629032258064516,0.820258064516129,0.024993884787983745,170
496,0.9185495376586914,0.011591789194159709,0.09354233741760254,0.002038756095147157,entropy,5,1,1000,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 1, 'n_estimators': 1000}",0.84,0.776,0.824,0.8145161290322581,0.8467741935483871,0.820258064516129,0.024894165157662584,170
278,0.9590343952178955,0.012010854974799692,0.0772003173828125,0.0018449825115564695,gini,,9,750,"{'criterion': 'gini', 'max_depth': None, 'max_features': 9, 'n_estimators': 750}",0.824,0.792,0.824,0.8629032258064516,0.7983870967741935,0.820258064516129,0.024993884787983745,170
550,0.5995882034301758,0.02439397744381025,0.05287327766418457,0.0014103161100254729,entropy,,3,500,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 3, 'n_estimators': 500}",0.824,0.8,0.816,0.8629032258064516,0.7983870967741935,0.820258064516129,0.02340714157677108,170
267,0.06462621688842773,0.00318663747732944,0.006981277465820312,0.0006312793561026767,gini,,7,50,"{'criterion': 'gini', 'max_depth': None, 'max_features': 7, 'n_estimators': 50}",0.816,0.8,0.824,0.8629032258064516,0.7983870967741935,0.820258064516129,0.02340714157677108,170
200,0.46854605674743655,0.014994290602273848,0.0480804443359375,0.0015838757228535598,gini,5,1,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 1, 'n_estimators': 500}",0.84,0.784,0.816,0.7983870967741935,0.8629032258064516,0.820258064516129,0.02835302941124643,170
261,0.12429590225219726,0.009089535780848002,0.012337636947631837,0.0004874812264658099,gini,,5,100,"{'criterion': 'gini', 'max_depth': None, 'max_features': 5, 'n_estimators': 100}",0.816,0.808,0.824,0.8467741935483871,0.8064516129032258,0.8202451612903225,0.014670485423455962,176
286,1.3142476558685303,0.01822846830373166,0.10371475219726563,0.002761404368685426,gini,,11,1000,"{'criterion': 'gini', 'max_depth': None, 'max_features': 11, 'n_estimators': 1000}",0.824,0.792,0.832,0.8629032258064516,0.7903225806451613,0.8202451612903225,0.027074473157832516,176
576,0.14519615173339845,0.006967181810268964,0.011775541305541991,0.0007484408663146491,entropy,,11,100,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 11, 'n_estimators': 100}",0.832,0.784,0.832,0.8629032258064516,0.7903225806451613,0.8202451612903225,0.029343263226406728,176
259,0.01555938720703125,0.0007794612360410872,0.003597450256347656,0.0004951855374285212,gini,,5,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': 5, 'n_estimators': 10}",0.84,0.792,0.824,0.8387096774193549,0.8064516129032258,0.820232258064516,0.018619028454877493,179
586,1.2899632453918457,0.024225345828337595,0.0763892650604248,0.0014788608774871925,entropy,,,750,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'n_estimators': 750}",0.824,0.8,0.832,0.8548387096774194,0.7903225806451613,0.820232258064516,0.023040031217460642,179
585,0.8477365970611572,0.012937464776889958,0.053253173828125,0.006369028141189187,entropy,,,500,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'n_estimators': 500}",0.832,0.792,0.832,0.8467741935483871,0.7983870967741935,0.820232258064516,0.021240081482762272,179
492,0.09853630065917969,0.002309061846432933,0.011362361907958984,0.00047927978026488785,entropy,5,1,100,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",0.832,0.808,0.816,0.7903225806451613,0.8548387096774194,0.820232258064516,0.021900754290698786,179
554,0.06183500289916992,0.0006310539121198377,0.007379579544067383,0.0004886429441710463,entropy,,5,50,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 5, 'n_estimators': 50}",0.84,0.8,0.816,0.8548387096774194,0.7903225806451613,0.820232258064516,0.024125568148782757,179
503,0.989521074295044,0.01805565734138375,0.09436955451965331,0.0014844256320200205,entropy,5,3,1000,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 3, 'n_estimators': 1000}",0.84,0.784,0.832,0.7983870967741935,0.8467741935483871,0.820232258064516,0.02459148351349265,179
575,0.07122511863708496,0.003325710334561678,0.0077721595764160155,0.0017009085245309253,entropy,,11,50,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 11, 'n_estimators': 50}",0.824,0.816,0.824,0.8467741935483871,0.7903225806451613,0.8202193548387097,0.018140375282794594,185
425,0.7661572456359863,0.012071728673374681,0.06981368064880371,0.0013936363365455587,entropy,3,9,750,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 9, 'n_estimators': 750}",0.832,0.8,0.832,0.7903225806451613,0.8467741935483871,0.8202193548387097,0.02137927069384324,185
461,0.9907577514648438,0.01645948104187909,0.09414701461791992,0.004810509073933791,entropy,4,5,1000,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 5, 'n_estimators': 1000}",0.84,0.784,0.84,0.7903225806451613,0.8467741935483871,0.8202193548387097,0.027178543290629544,185
141,0.062215328216552734,0.007914774748314925,0.007595682144165039,0.0011901189349099986,gini,3,,50,"{'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'n_estimators': 50}",0.856,0.776,0.84,0.8145161290322581,0.8145161290322581,0.8202064516129033,0.027173268372572803,188
457,0.10451202392578125,0.0034142756986524437,0.011777639389038086,0.001713643040008734,entropy,4,5,100,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 5, 'n_estimators': 100}",0.848,0.792,0.832,0.782258064516129,0.8467741935483871,0.8202064516129033,0.027760036105498202,188
